127.0.0.1 - - [13/Aug/2020:10:04:25 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/7.52.1" "-"
46.42.145.34 - - [13/Aug/2020:10:48:54 +0000] "GET /html HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4229.0 Safari/537.36" "-"
46.42.145.34 - - [13/Aug/2020:10:48:58 +0000] "GET /favicon.ico HTTP/1.1" 404 555 "http://35.228.201.176/html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4229.0 Safari/537.36" "-"
46.42.145.34 - - [13/Aug/2020:10:49:03 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4229.0 Safari/537.36" "-"
46.42.145.34 - - [13/Aug/2020:11:02:41 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4229.0 Safari/537.36" "-"
46.42.145.34 - - [13/Aug/2020:11:02:53 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
46.42.145.34 - - [13/Aug/2020:11:02:54 +0000] "GET /favicon.ico HTTP/1.1" 404 153 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
92.112.7.23 - - [13/Aug/2020:11:11:05 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "-"
185.150.189.165 - - [13/Aug/2020:11:16:25 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 404 153 "http://35.228.201.176:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0" "-"
185.150.189.165 - - [13/Aug/2020:11:16:25 +0000] "" 400 0 "-" "-" "-"
46.42.145.34 - - [13/Aug/2020:11:49:44 +0000] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:79.0) Gecko/20100101 Firefox/79.0" "-"
